window,base,rule,template,side,regime,hold_5m,leverage,trades,profit_ratio_sum,profit_pct_sum,avg_trade_pct,wins,losses,winrate_pct,profit_factor
2025,RUNE,RUNE:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,109,-0.5463033499582293,-54.63033499582293,-0.5011957339066324,44,65,40.36697247706422,0.8413284639765893
2026_01_05,RUNE,RUNE:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,42,-0.3202118605940757,-32.02118605940757,-0.7624091918906564,17,25,40.476190476190474,0.6942779136112823
2023H2,RUNE,RUNE:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,56,0.5672864800662442,56.72864800662442,1.0130115715468646,25,31,44.642857142857146,1.6577424890045938
2024,RUNE,RUNE:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,175,0.7378722479525586,73.78722479525585,0.4216412845443192,80,95,45.714285714285715,1.1848183960526772
2025,RUNE,RUNE:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,163,0.6333114434074222,63.33114434074222,0.3885346278573142,79,84,48.466257668711656,1.1884465831806588
2026_01_05,RUNE,RUNE:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,45,0.19881893916379567,19.881893916379568,0.4418198648084348,22,23,48.888888888888886,1.322315917065078
2023H2,RUNE,RUNE:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,33,0.23450887045089353,23.450887045089353,0.7106329407602834,17,16,51.515151515151516,1.3302874306821326
2024,RUNE,RUNE:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,42,-0.9361166136270926,-93.61166136270927,-2.228849080064506,15,27,35.714285714285715,0.4763412351705526
2025,RUNE,RUNE:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,39,-0.32178674611795466,-32.178674611795465,-0.8250942208152683,14,25,35.8974358974359,0.727956762632011
2026_01_05,RUNE,RUNE:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,12,0.23539857189245394,23.539857189245396,1.9616547657704497,7,5,58.333333333333336,2.3682482410632355
