window,strategy,pair,base,side,enter_tag,open_date,close_date,profit_abs,profit_ratio_pct,duration_min,leverage
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_24_mkr_vwap_s_mchop_h12_l5,2024-01-14 05:31:00+00:00,2024-01-14 06:31:00+00:00,-323.94495815,-6.4822283395641485,60,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,long,s11_05_xtz_vstretch_l_mchop_h8m_l5,2024-01-14 11:28:00+00:00,2024-01-14 11:36:00+00:00,107.7940712,2.1548127619095676,8,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,ETC/USDT:USDT,ETC,long,s11_03_etc_vstretch_l_mchop_h12m_l5,2024-01-14 16:30:00+00:00,2024-01-14 16:42:00+00:00,-175.16182464,-3.5015105126073824,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,long,s9_25_sui_vwap_l_lc_h18_l5,2024-01-14 23:41:00+00:00,2024-01-15 01:11:00+00:00,343.09932388,6.858572446978764,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_24_mkr_vwap_s_mchop_h12_l5,2024-01-15 12:16:00+00:00,2024-01-15 13:16:00+00:00,179.1445923,3.5849669702886633,60,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,short,s9_16_ltc_vwap_s_lc_h18_l5,2024-01-15 17:41:00+00:00,2024-01-15 19:11:00+00:00,-131.9974144,-2.641275007958849,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_24_mkr_vwap_s_mchop_h12_l5,2024-01-16 07:41:00+00:00,2024-01-16 08:41:00+00:00,173.0986543,3.4639620198745016,60,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,short,s9_16_ltc_vwap_s_lc_h18_l5,2024-01-17 01:36:00+00:00,2024-01-17 03:06:00+00:00,71.91984627,1.4391165158780306,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,short,s9_16_ltc_vwap_s_lc_h18_l5,2024-01-17 13:06:00+00:00,2024-01-17 14:36:00+00:00,47.21733198,0.9448206129916408,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,short,s9_16_ltc_vwap_s_lc_h18_l5,2024-01-17 14:56:00+00:00,2024-01-17 16:26:00+00:00,116.00711664,2.3213037568220365,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-17 17:05:00+00:00,2024-01-17 17:17:00+00:00,-9.71975849,-0.1942987623114017,12,5.0
