date,profit,exit_reason,raw_profit,pair,candidate_id,template,side,regime,hold
2024-02-29 05:35:00+00:00,0.003539858866745072,fixed_hold,0.028318870933960575,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-02-29 17:45:00+00:00,0.006787449392712419,fixed_hold,0.05429959514169935,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-01 14:05:00+00:00,0.005557203640231656,fixed_hold,0.04445762912185325,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-02 01:15:00+00:00,0.007787292817679592,fixed_hold,0.062298342541436735,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-04 08:30:00+00:00,-0.002357458905609344,fixed_hold,-0.01885967124487475,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-04 09:55:00+00:00,0.005085898709036696,fixed_hold,0.04068718967229357,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-05 19:20:00+00:00,-0.027187689792104675,fixed_hold,-0.2175015183368374,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-03-05 20:00:00+00:00,0.015618366672177253,fixed_hold,0.12494693337741802,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-05 20:00:00+00:00,0.012929137760158527,fixed_hold,0.10343310208126821,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-03-06 05:50:00+00:00,-0.013755894434329896,fixed_hold,-0.11004715547463917,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-06 07:55:00+00:00,0.0024406959647116926,fixed_hold,0.01952556771769354,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2024-03-06 08:20:00+00:00,0.007173469387755038,fixed_hold,0.057387755102040305,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
